customer_id,snapshot_date,churned,arr,plan,seats,monthly_logins,support_tickets,nps_score,days_since_last_login,contract_months_remaining,industry,company_size,probability,tier,rank,value_at_risk,churn_risk_pct,renewal_window_label,urgency_score,arr_at_risk,recommended_action,account_status
CUST-21102,2025-06-18,0,199931,Enterprise,127,983,2,8,2,0,Logistics,1000+,0.11419882312756564,Low Risk,1129,22831.884906717325,11.4,unknown,11.4,22831.88,Monitor,active
CUST-21563,2025-04-03,0,147416,Enterprise,11,70,2,7,34,7,EdTech,11-50,0.15472225219974706,Low Risk,680,22808.535530277913,15.5,unknown,15.5,22808.54,Monitor,active
CUST-21571,2024-12-26,0,144208,Enterprise,18,142,3,5,17,3,Logistics,1-10,0.15736261312466512,Low Risk,665,22692.94771348171,15.7,unknown,15.7,22692.95,Monitor,active
CUST-20350,2024-12-16,0,195525,Enterprise,1,6,1,7,9,2,Gaming,51-200,0.11455307232467335,Low Risk,1124,22397.989466281757,11.5,unknown,11.5,22397.99,Monitor,active
CUST-20777,2024-04-24,0,173883,Enterprise,33,256,2,6,56,2,E-commerce,11-50,0.12831026823813804,Low Risk,965,22310.97437205216,12.8,unknown,12.8,22310.97,Monitor,active
CUST-21653,2025-03-16,0,143180,Enterprise,107,849,0,5,44,10,SaaS,1000+,0.15251287143402412,Low Risk,703,21836.792931923574,15.3,unknown,15.3,21836.79,Monitor,active
CUST-20104,2025-05-20,0,164173,Enterprise,4,36,3,4,6,2,FinTech,51-200,0.13044444414712864,Low Risk,939,21415.45572896655,13.0,unknown,13.0,21415.46,Monitor,active
CUST-20716,2024-03-02,0,180374,Enterprise,112,911,2,6,1,13,EdTech,51-200,0.11687568644668542,Low Risk,1094,21081.335067134434,11.7,unknown,11.7,21081.34,Monitor,active
CUST-21848,2024-03-15,0,177977,Enterprise,31,260,0,8,33,7,Gaming,201-1000,0.11781571529364074,Low Risk,1083,20968.4875608163,11.8,unknown,11.8,20968.49,Monitor,active
CUST-21874,2024-03-03,0,156059,Enterprise,22,163,4,4,0,3,HR Tech,51-200,0.1327196672561031,Low Risk,902,20712.098552320193,13.3,unknown,13.3,20712.1,Monitor,active
CUST-20325,2024-04-18,0,126525,Enterprise,134,1079,4,7,2,7,Logistics,11-50,0.1633330827759944,Low Risk,628,20665.718298232692,16.3,unknown,16.3,20665.72,Monitor,active
CUST-21429,2025-05-23,0,185841,Enterprise,10,85,1,5,16,15,Gaming,1-10,0.10988342488922961,Low Risk,1179,20420.84556483932,11.0,unknown,11.0,20420.85,Monitor,active
CUST-20088,2025-02-01,0,155865,Enterprise,28,212,1,6,2,0,HealthTech,201-1000,0.13059032603339865,Low Risk,936,20354.46116719568,13.1,unknown,13.1,20354.46,Monitor,active
CUST-21689,2024-01-13,0,160794,Enterprise,66,565,5,5,23,10,EdTech,201-1000,0.12590745405615147,Low Risk,995,20245.16316750482,12.6,unknown,12.6,20245.16,Monitor,active
CUST-20076,2024-01-17,0,167179,Enterprise,150,1159,3,8,3,5,E-commerce,11-50,0.1208177774837087,Low Risk,1045,20198.195221948936,12.1,unknown,12.1,20198.2,Monitor,active
CUST-21242,2024-06-21,0,127931,Enterprise,89,753,2,6,2,1,Gaming,1000+,0.15769086667009133,Low Risk,662,20173.550263971454,15.8,unknown,15.8,20173.55,Monitor,active
CUST-20287,2024-03-15,0,147146,Enterprise,134,1051,0,7,4,5,HR Tech,1000+,0.1368412397762829,Low Risk,851,20135.641068120924,13.7,unknown,13.7,20135.64,Monitor,active
CUST-20060,2025-02-02,0,178339,Enterprise,54,410,2,10,0,3,E-commerce,1-10,0.10986280080455971,Low Risk,1180,19592.822032684373,11.0,unknown,11.0,19592.82,Monitor,active
CUST-21482,2025-05-16,0,185896,Enterprise,8,63,0,5,2,3,SaaS,51-200,0.1041456890864891,Low Risk,1254,19360.267018421975,10.4,unknown,10.4,19360.27,Monitor,active
CUST-20985,2024-01-18,0,147691,Enterprise,25,187,0,5,7,2,Gaming,11-50,0.13067487103548542,Low Risk,935,19299.502378101875,13.1,unknown,13.1,19299.5,Monitor,active
CUST-21330,2024-09-02,0,124641,Enterprise,87,699,2,4,26,7,Logistics,51-200,0.1544709886553532,Low Risk,682,19253.41849699188,15.4,unknown,15.4,19253.42,Monitor,active
CUST-21932,2024-12-21,0,101631,Enterprise,109,884,5,7,30,0,Logistics,11-50,0.18781852750790556,Low Risk,466,19088.18476915595,18.8,unknown,18.8,19088.18,Monitor,active
CUST-21420,2024-11-12,0,129288,Enterprise,112,944,0,4,65,7,FinTech,1-10,0.14672450506796716,Low Risk,758,18969.71781122734,14.7,unknown,14.7,18969.72,Monitor,active
CUST-21397,2025-03-06,0,172174,Enterprise,49,390,6,6,7,13,Gaming,51-200,0.10951723813901548,Low Risk,1187,18856.020959346853,11.0,unknown,11.0,18856.02,Monitor,active
CUST-21704,2024-10-10,0,163756,Enterprise,138,1119,3,4,8,14,HR Tech,51-200,0.11495205326475832,Low Risk,1114,18824.088434423764,11.5,unknown,11.5,18824.09,Monitor,active
CUST-21725,2024-05-28,0,136278,Enterprise,69,520,2,7,9,1,SaaS,1000+,0.13661537340657584,Low Risk,854,18617.669857101344,13.7,unknown,13.7,18617.67,Monitor,active
CUST-21850,2025-06-22,0,180509,Enterprise,118,941,1,10,22,19,Media,1-10,0.10306004893468228,Low Risk,1267,18603.266373150564,10.3,unknown,10.3,18603.27,Monitor,active
CUST-21734,2025-06-04,0,85154,Enterprise,140,1110,1,3,34,1,EdTech,1-10,0.21643419074780718,Low Risk,344,18430.23707893877,21.6,unknown,21.6,18430.24,Monitor,active
CUST-20392,2025-01-11,0,168964,Enterprise,9,64,1,5,2,3,FinTech,201-1000,0.1087881899684204,Low Risk,1194,18381.287729824187,10.9,unknown,10.9,18381.29,Monitor,active
CUST-21936,2025-04-15,0,188823,Enterprise,31,285,2,5,3,8,HealthTech,1-10,0.09727277327733126,Low Risk,1327,18367.33686854552,9.7,unknown,9.7,18367.34,Monitor,active
CUST-20426,2025-03-02,0,146068,Enterprise,37,304,3,4,11,1,FinTech,11-50,0.12566110423656693,Low Risk,997,18355.06617362686,12.6,unknown,12.6,18355.07,Monitor,active
CUST-21553,2024-10-01,0,145818,Enterprise,81,628,2,5,23,6,MarTech,11-50,0.125376657793142,Low Risk,1001,18282.17348608038,12.5,unknown,12.5,18282.17,Monitor,active
CUST-20132,2024-04-20,0,170300,Enterprise,30,225,1,7,21,12,E-commerce,51-200,0.10686158532286796,Low Risk,1217,18198.527980484414,10.7,unknown,10.7,18198.53,Monitor,active
CUST-21968,2024-09-30,0,124671,Enterprise,145,1102,1,6,9,13,Logistics,51-200,0.14561448450663772,Low Risk,765,18153.90339792703,14.6,unknown,14.6,18153.9,Monitor,active
CUST-20456,2024-08-09,0,195049,Enterprise,73,619,3,4,13,17,HealthTech,201-1000,0.09226289009409117,Low Risk,1398,17995.784449962386,9.2,unknown,9.2,17995.78,Monitor,active
CUST-21284,2024-05-04,0,132636,Enterprise,296,2412,1,9,27,0,Gaming,1-10,0.13564369333302,Low Risk,869,17991.236908918443,13.6,unknown,13.6,17991.24,Monitor,active
CUST-20381,2025-04-07,0,177756,Enterprise,7,57,0,6,8,20,SaaS,51-200,0.0997512470900718,Low Risk,1296,17731.382677742804,10.0,unknown,10.0,17731.38,Monitor,active
CUST-20257,2024-12-06,0,148056,Enterprise,20,159,0,6,4,0,Gaming,1-10,0.11900486638585465,Low Risk,1069,17619.384497624098,11.9,unknown,11.9,17619.38,Monitor,active
CUST-21472,2025-03-24,0,152142,Enterprise,138,1116,1,5,20,18,HR Tech,51-200,0.11567464748530291,Low Risk,1106,17598.972217708957,11.6,unknown,11.6,17598.97,Monitor,active
CUST-21730,2024-10-18,0,148621,Enterprise,149,1170,3,9,22,1,Logistics,1-10,0.11761673754826481,Low Risk,1085,17480.317151160663,11.8,unknown,11.8,17480.32,Monitor,active
CUST-21729,2024-09-06,0,170612,Enterprise,179,1387,2,7,8,12,HealthTech,201-1000,0.10241766896137978,Low Risk,1271,17473.683336838927,10.2,unknown,10.2,17473.68,Monitor,active
CUST-20736,2024-06-07,0,128359,Enterprise,83,627,4,6,34,8,Media,1-10,0.13581050921080787,Low Risk,865,17432.501151790086,13.6,unknown,13.6,17432.5,Monitor,active
CUST-20545,2025-05-08,1,105525,Enterprise,31,269,4,6,7,2,Gaming,51-200,0.16493784420950147,Low Risk,608,17405.066010207644,16.5,unknown,16.5,17405.07,Monitor,archived_cancelled
CUST-21334,2024-10-28,0,143051,Enterprise,13,110,7,5,11,5,Logistics,201-1000,0.12132634170369469,Low Risk,1040,17355.854507055228,12.1,unknown,12.1,17355.85,Monitor,active
CUST-21254,2024-12-02,1,76675,Enterprise,25,178,3,2,10,7,Logistics,11-50,0.22565176557285077,Low Risk,305,17301.849125298333,22.6,unknown,22.6,17301.85,Monitor,archived_cancelled
CUST-21961,2024-06-19,0,163023,Enterprise,12,94,0,7,7,7,HR Tech,1-10,0.10535823787221295,Low Risk,1235,17175.81601264177,10.5,unknown,10.5,17175.82,Monitor,active
CUST-21139,2024-01-05,0,113330,Enterprise,108,887,1,5,48,5,HR Tech,201-1000,0.15127982627137754,Low Risk,719,17144.542711335216,15.1,unknown,15.1,17144.54,Monitor,active
CUST-21554,2024-11-28,0,123422,Enterprise,137,1128,2,7,19,5,FinTech,1-10,0.13713850906204075,Low Risk,847,16925.909065455195,13.7,unknown,13.7,16925.91,Monitor,active
CUST-20500,2024-04-18,0,125163,Enterprise,21,163,4,8,12,2,EdTech,1-10,0.13402321852750526,Low Risk,887,16774.74810055814,13.4,unknown,13.4,16774.75,Monitor,active
CUST-21408,2024-07-02,0,117836,Enterprise,75,610,0,6,40,11,MarTech,201-1000,0.14122443854220187,Low Risk,812,16641.3229400589,14.1,unknown,14.1,16641.32,Monitor,active
CUST-21416,2024-03-26,0,117438,Enterprise,86,705,1,6,2,2,E-commerce,11-50,0.14162064873550353,Low Risk,805,16631.645746200065,14.2,unknown,14.2,16631.65,Monitor,active
CUST-20996,2025-05-06,0,193889,Enterprise,51,367,0,9,5,9,HealthTech,201-1000,0.08564749167423015,Low Risk,1475,16606.10651322481,8.6,unknown,8.6,16606.11,Monitor,active
CUST-20409,2025-01-25,1,64006,Enterprise,141,1174,3,7,4,0,MarTech,201-1000,0.256582677808029,Low Risk,177,16422.830875780706,25.7,unknown,25.7,16422.83,Monitor,archived_cancelled
CUST-20825,2024-04-10,0,156065,Enterprise,38,300,5,7,0,4,FinTech,51-200,0.10483929206773039,Low Risk,1249,16361.744116550344,10.5,unknown,10.5,16361.74,Monitor,active
CUST-21106,2024-09-02,0,149459,Enterprise,58,438,2,6,30,7,HealthTech,1000+,0.10803837389690932,Low Risk,1204,16147.30732425817,10.8,unknown,10.8,16147.31,Monitor,active
CUST-21990,2024-04-29,0,171392,Enterprise,4,29,5,3,12,20,Logistics,11-50,0.09371822025498244,Low Risk,1376,16062.553205941951,9.4,unknown,9.4,16062.55,Monitor,active
CUST-20158,2024-11-13,0,183688,Enterprise,7,63,4,7,9,20,Logistics,201-1000,0.08628509794229042,Low Risk,1468,15849.537070823442,8.6,unknown,8.6,15849.54,Monitor,active
CUST-20888,2024-07-06,1,50292,Professional,7,55,4,6,11,4,Logistics,51-200,0.31328877736171556,Low Risk,29,15755.9191910754,31.3,unknown,31.3,15755.92,Monitor,archived_cancelled
CUST-21005,2024-10-03,0,116810,Enterprise,1,3,1,5,17,8,SaaS,201-1000,0.13475558132826201,Low Risk,880,15740.799454954285,13.5,unknown,13.5,15740.8,Monitor,active
CUST-20089,2024-01-22,0,194762,Enterprise,81,654,1,6,11,22,Gaming,11-50,0.08030165752759465,Low Risk,1528,15639.711423389388,8.0,unknown,8.0,15639.71,Monitor,active
CUST-20800,2025-06-19,0,183914,Enterprise,12,103,2,7,17,18,SaaS,1-10,0.08474326894791052,Low Risk,1484,15585.473565286016,8.5,unknown,8.5,15585.47,Monitor,active
CUST-21890,2024-02-27,0,160026,Enterprise,54,483,0,7,7,14,E-commerce,201-1000,0.09575629162494438,Low Risk,1345,15323.49632357335,9.6,unknown,9.6,15323.5,Monitor,active
CUST-20662,2025-01-17,0,175019,Enterprise,117,936,2,9,22,18,Gaming,1-10,0.08718674038943176,Low Risk,1452,15259.336116217957,8.7,unknown,8.7,15259.34,Monitor,active
CUST-21374,2025-06-14,0,140385,Enterprise,1,9,2,6,29,1,SaaS,201-1000,0.10848793595355447,Low Risk,1199,15230.078888839744,10.8,unknown,10.8,15230.08,Monitor,active
CUST-20648,2024-11-28,0,189401,Enterprise,1,12,2,7,26,13,SaaS,11-50,0.07917447838858896,Low Risk,1543,14995.725381277138,7.9,unknown,7.9,14995.73,Monitor,active
CUST-21422,2024-04-13,0,130463,Enterprise,3,20,3,7,51,5,E-commerce,1-10,0.11455107472451834,Low Risk,1125,14944.676861784836,11.5,unknown,11.5,14944.68,Monitor,active
CUST-20277,2025-06-18,0,124749,Enterprise,92,719,1,7,4,8,EdTech,1000+,0.11699147929874187,Low Risk,1093,14594.57005103875,11.7,unknown,11.7,14594.57,Monitor,active
CUST-20049,2025-04-15,0,75192,Enterprise,119,959,2,7,14,0,E-commerce,201-1000,0.1937267687123032,Low Risk,436,14566.703193015503,19.4,unknown,19.4,14566.7,Monitor,active
CUST-20544,2024-10-19,0,118341,Enterprise,76,621,1,6,12,18,MarTech,11-50,0.12256296742416835,Low Risk,1028,14504.224127943506,12.3,unknown,12.3,14504.22,Monitor,active
CUST-20701,2024-09-05,0,138379,Enterprise,25,233,0,7,35,11,MarTech,11-50,0.10350092635359305,Low Risk,1259,14322.354687883853,10.4,unknown,10.4,14322.35,Monitor,active
CUST-21357,2025-06-22,0,146293,Enterprise,19,161,0,6,6,0,Media,201-1000,0.09710964863194285,Low Risk,1331,14206.461827312816,9.7,unknown,9.7,14206.46,Monitor,active
CUST-21145,2024-01-17,0,108388,Enterprise,54,435,1,7,28,3,MarTech,51-200,0.13018727503538813,Low Risk,943,14110.738366535648,13.0,unknown,13.0,14110.74,Monitor,active
CUST-20278,2024-02-23,0,155201,Enterprise,3,26,2,2,6,4,FinTech,201-1000,0.08959484550695022,Low Risk,1431,13905.209617524182,9.0,unknown,9.0,13905.21,Monitor,active
CUST-20770,2024-03-02,0,132987,Enterprise,19,174,4,7,4,2,Media,201-1000,0.10424043077873846,Low Risk,1253,13862.622167972091,10.4,unknown,10.4,13862.62,Monitor,active
CUST-20105,2025-03-17,0,89468,Enterprise,29,236,4,3,40,2,E-commerce,1000+,0.15474924590337094,Low Risk,679,13845.105532482792,15.5,unknown,15.5,13845.11,Monitor,active
CUST-21836,2024-10-27,1,53457,Professional,1,9,3,4,4,7,Gaming,11-50,0.25848541897571864,Low Risk,168,13817.85504218499,25.8,unknown,25.8,13817.86,Monitor,archived_cancelled
CUST-21308,2024-04-14,0,136875,Enterprise,7,54,2,4,0,2,SaaS,11-50,0.10072773004349618,Low Risk,1291,13787.10804970354,10.1,unknown,10.1,13787.11,Monitor,active
CUST-20989,2024-05-16,0,178272,Enterprise,113,885,3,8,4,17,FinTech,1-10,0.07708104970227331,Low Risk,1573,13741.392892523667,7.7,unknown,7.7,13741.39,Monitor,active
CUST-20555,2024-02-06,0,108927,Enterprise,164,1321,4,7,20,12,MarTech,51-200,0.12592108935564517,Low Risk,994,13716.20650024236,12.6,unknown,12.6,13716.21,Monitor,active
CUST-21144,2025-05-28,0,122669,Enterprise,108,860,4,7,4,19,SaaS,51-200,0.11130702290040136,Low Risk,1159,13653.921192169333,11.1,unknown,11.1,13653.92,Monitor,active
CUST-20386,2024-01-12,0,186005,Enterprise,29,275,1,10,3,17,EdTech,11-50,0.07338260951473233,Low Risk,1616,13649.532282787786,7.3,unknown,7.3,13649.53,Monitor,active
CUST-20569,2024-10-04,0,172524,Enterprise,49,395,3,9,1,11,HR Tech,51-200,0.07871178756207271,Low Risk,1548,13579.672437359033,7.9,unknown,7.9,13579.67,Monitor,active
CUST-20204,2024-04-30,0,124035,Enterprise,8,50,2,10,6,2,Gaming,1-10,0.10911146908188311,Low Risk,1190,13533.641067571372,10.9,unknown,10.9,13533.64,Monitor,active
CUST-21119,2025-01-03,0,238286,Enterprise,36,291,2,8,12,13,FinTech,1000+,0.05670514414150864,Low Risk,1808,13512.041976903527,5.7,unknown,5.7,13512.04,Monitor,active
CUST-21135,2025-05-12,0,147502,Enterprise,25,197,1,6,0,14,MarTech,201-1000,0.09140701926071595,Low Risk,1410,13482.718154994125,9.1,unknown,9.1,13482.72,Monitor,active
CUST-21549,2024-12-30,1,58237,Professional,15,130,3,5,44,4,Logistics,201-1000,0.23098501504495247,Low Risk,284,13451.874321172898,23.1,unknown,23.1,13451.87,Monitor,archived_cancelled
CUST-21478,2024-02-09,1,41624,Professional,16,146,4,7,34,10,E-commerce,51-200,0.3198347936724354,Low Risk,24,13312.80345182145,32.0,unknown,32.0,13312.8,Monitor,archived_cancelled
CUST-20723,2025-02-11,0,108939,Enterprise,124,987,1,9,3,10,Gaming,1-10,0.12210174007612659,Low Risk,1033,13301.641462153155,12.2,unknown,12.2,13301.64,Monitor,active
CUST-20999,2025-04-20,0,76027,Enterprise,160,1314,2,4,3,8,MarTech,51-200,0.17469500060830664,Low Risk,554,13281.53681124773,17.5,unknown,17.5,13281.54,Monitor,active
CUST-20090,2025-04-13,0,146375,Enterprise,19,152,3,6,45,15,Gaming,1-10,0.08997185620897181,Low Risk,1422,13169.63045258825,9.0,unknown,9.0,13169.63,Monitor,active
CUST-21691,2025-02-01,0,121097,Enterprise,60,498,3,1,21,10,HealthTech,1-10,0.10867151939596469,Low Risk,1196,13159.794984293136,10.9,unknown,10.9,13159.79,Monitor,active
CUST-20203,2024-03-04,0,108712,Enterprise,90,753,2,5,17,5,FinTech,51-200,0.12084142025322793,Low Risk,1044,13136.912478568915,12.1,unknown,12.1,13136.91,Monitor,active
CUST-20395,2024-04-04,0,153416,Enterprise,22,156,0,9,36,13,Logistics,1000+,0.08562825450611564,Low Risk,1476,13136.744293310236,8.6,unknown,8.6,13136.74,Monitor,active
CUST-21928,2024-06-07,1,48065,Professional,45,350,3,6,11,2,Gaming,1000+,0.2708574968282929,Low Risk,124,13018.765585051899,27.1,unknown,27.1,13018.77,Monitor,archived_cancelled
CUST-20898,2024-02-24,0,117253,Enterprise,60,481,2,3,0,2,E-commerce,1-10,0.11097860962841166,Low Risk,1163,13012.574914760153,11.1,unknown,11.1,13012.57,Monitor,active
CUST-20737,2024-03-31,0,122614,Enterprise,7,49,4,9,23,8,Logistics,1-10,0.10484120232484177,Low Risk,1248,12854.99918185815,10.5,unknown,10.5,12855.0,Monitor,active
CUST-20608,2024-11-24,0,104826,Enterprise,27,252,4,0,9,2,Media,11-50,0.12229306324743416,Low Risk,1031,12819.492647975534,12.2,unknown,12.2,12819.49,Monitor,active
CUST-21768,2025-03-24,1,138871,Enterprise,29,212,3,3,3,3,HealthTech,1000+,0.09227217040341872,Low Risk,1397,12813.92857609316,9.2,unknown,9.2,12813.93,Monitor,archived_cancelled
CUST-21285,2025-05-07,0,146752,Enterprise,12,108,1,7,25,12,SaaS,1-10,0.08675364583870367,Low Risk,1459,12731.27103412144,8.7,unknown,8.7,12731.27,Monitor,active
CUST-20080,2024-03-12,0,174122,Enterprise,41,329,1,8,1,9,HR Tech,51-200,0.07308833890999959,Low Risk,1621,12726.287747686949,7.3,unknown,7.3,12726.29,Monitor,active
